title,authors,description,published_date,info_link,note
Harry Potter and the Cursed Child: The Official Script Book of the Original West,"J-K Rowling, Jack Thorne, John Tiffany","The Eighth Story. Nineteen Years Later. Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, ""Harry Potter and the Cursed Child"" is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London s West End on July 30, 2016. It was always difficult being Harry Potter and it isn t much easier now that he is an overworked employee of the Ministry of Magic, a husband and father of three school-age children. While Harry grapples with a past that refuses to stay where it belongs, his youngest son Albus must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: sometimes, darkness comes from unexpected places. """,2016-08-22,http://books.google.com.ph/books?id=6JbljwEACAAJ&dq=harry+potter&hl=&source=gbs_api,
Harry Potter and the Chamber of Secrets,J.K. Rowling,"'There is a plot, Harry Potter. A plot to make most terrible things happen at Hogwarts School of Witchcraft and Wizardry this year.' Harry Potter's summer has included the worst birthday ever, doomy warnings from a house-elf called Dobby, and rescue from the Dursleys by his friend Ron Weasley in a magical flying car! Back at Hogwarts School of Witchcraft and Wizardry for his second year, Harry hears strange whispers echo through empty corridors - and then the attacks start. Students are found as though turned to stone... Dobby's sinister predictions seem to be coming true. Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",2015-12-08,https://play.google.com/store/books/details?id=5iTebBW-w7QC&source=gbs_api,
The Player of Games,Iain M. Banks,"The Culture — a human/machine symbiotic society — has thrown up many great Game Players, and one of the greatest is Gurgeh Jernau Morat Gurgeh. The Player of Games. Master of every board, computer and strategy. Bored with success, Gurgeh travels to the Empire of Azad, cruel and incredibly wealthy, to try their fabulous game. . . a game so complex, so like life itself, that the winner becomes emperor. Mocked, blackmailed, almost murdered, Gurgeh accepts the game, and with it the challenge of his life — and very possibly his death. The Culture Series Consider Phlebas The Player of Games Use of Weapons The State of the Art Excession Inversions Look to Windward Matter Surface Detail The Hydrogen Sonata",2009-12-01,https://play.google.com/store/books/details?id=4TtHAQAAQBAJ&source=gbs_api,
Harry Potter,S. Gunelius,"The Harry Potter books are the bestselling books of all time. In this fascinating study, Susan Gunelius analyzes every aspect of the brand phenomenon that is Harry Potter. Delving into price wars, box office revenue, and brand values, amongst other things, this is the story of the most incredible brand success there has ever been.",2008-06-03,https://play.google.com/store/books/details?id=abYKXvCwEToC&source=gbs_api,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"'Welcome to the Knight Bus, emergency transport for the stranded witch or wizard. Just stick out your wand hand, step on board and we can take you anywhere you want to go.' When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",2015-12-08,http://books.google.com.ph/books?id=wHlDzHnt6x0C&dq=harry+potter&hl=&source=gbs_api,
Fantastic Beasts and where to Find Them,J. K. Rowling,"An entertaining companion to the Harry Potter books, written by J.K. Rowling. Fantastic Beasts and Where to Find Them is an extensive introduction to magical beasts familiar from the Harry Potter books and others we haven't yet met. Includes information about beasts which can be found in Australia and New Zealand and what they eat.",2009-01-01,http://books.google.com.ph/books?id=EcekAwAAQBAJ&dq=harry+potter&hl=&source=gbs_api,
Harry Potter and the Sorcerer's Stone,J. K. Rowling,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches. 180,000 first printing.",2008,http://books.google.com.ph/books?id=gW36ngEACAAJ&dq=harry+potter&hl=&source=gbs_api,
Harry Potter - The Illustrated Collection,J. K. Rowling,,2017-11-16,http://books.google.com.ph/books?id=7yyUswEACAAJ&dq=harry+potter&hl=&source=gbs_api,
Harry Potter,,,,http://books.google.com.ph/books?id=n3vng7gyGCYC&dq=harry+potter&hl=&source=gbs_api,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"'Welcome to the Knight Bus, emergency transport for the stranded witch or wizard. Just stick out your wand hand, step on board and we can take you anywhere you want to go.' When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",2015-12-08,http://books.google.com.ph/books?id=wHlDzHnt6x0C&dq=Harry+potter&hl=&source=gbs_api,I love this one
